time,open,high,low,close
2010-07-19,0.00008,0.00008,0.00007,0.00007
2010-07-20,0.00007,0.00007,0.00006,0.00006
2010-07-21,0.00006,0.00006,0.00006,0.00006
2010-07-22,0.00006,0.00007,0.00005,0.00005
2010-07-23,0.00005,0.00006,0.00004,0.00005
2010-07-26,0.00004,0.00005,0.00004,0.00005
2010-07-27,0.00005,0.00005,0.00004,0.00005
2010-07-28,0.00005,0.00005,0.00005,0.00005
2010-07-29,0.00005,0.00006,0.00005,0.00006
2010-07-30,0.00006,0.00006,0.00005,0.00006
2010-08-02,0.00005,0.00005,0.00005,0.00005
2010-08-03,0.00005,0.00005,0.00005,0.00005
2010-08-04,0.00005,0.00005,0.00005,0.00005
2010-08-05,0.00005,0.00005,0.00005,0.00005
2010-08-06,0.00005,0.00005,0.00005,0.00005
2010-08-09,0.00005,0.00006,0.00005,0.00006
2010-08-10,0.00006,0.00006,0.00006,0.00006
2010-08-11,0.00006,0.00006,0.00005,0.00006
2010-08-12,0.00006,0.00006,0.00005,0.00005
2010-08-13,0.00006,0.00006,0.00005,0.00005
2010-08-16,0.00005,0.00006,0.00005,0.00005
2010-08-17,0.00005,0.00006,0.00005,0.00006
2010-08-18,0.00006,0.00006,0.00005,0.00006
2010-08-19,0.00005,0.00006,0.00005,0.00005
2010-08-20,0.00005,0.00005,0.00005,0.00005
2010-08-23,0.00005,0.00005,0.00005,0.00005
2010-08-24,0.00005,0.00005,0.00005,0.00005
2010-08-25,0.00005,0.00005,0.00005,0.00005
2010-08-26,0.00005,0.00005,0.00005,0.00005
2010-08-27,0.00005,0.00005,0.00005,0.00005
2010-08-30,0.00005,0.00006,0.00003,0.00005
2010-08-31,0.00005,0.00005,0.00005,0.00005
2010-09-01,0.00005,0.00005,0.00005,0.00005
2010-09-02,0.00005,0.00005,0.00005,0.00005
2010-09-03,0.00005,0.00005,0.00005,0.00005
2010-09-06,0.00005,0.00005,0.00005,0.00005
2010-09-07,0.00005,0.00005,0.00005,0.00005
2010-09-08,0.00005,0.00005,0.00005,0.00005
2010-09-09,0.00005,0.00005,0.00005,0.00005
2010-09-10,0.00005,0.00005,0.00005,0.00005
2010-09-13,0.00005,0.00005,0.00005,0.00005
2010-09-14,0.00005,0.00014,0.00005,0.00005
2010-09-15,0.00005,0.00005,0.00005,0.00005
2010-09-16,0.00005,0.00005,0.00005,0.00005
2010-09-17,0.00005,0.00005,0.00005,0.00005
2010-09-20,0.00005,0.00005,0.00005,0.00005
2010-09-21,0.00005,0.00005,0.00005,0.00005
2010-09-22,0.00005,0.00005,0.00005,0.00005
2010-09-23,0.00005,0.00005,0.00005,0.00005
2010-09-24,0.00005,0.00005,0.00005,0.00005
2010-09-27,0.00005,0.00005,0.00005,0.00005
2010-09-28,0.00005,0.00005,0.00005,0.00005
2010-09-29,0.00005,0.00005,0.00005,0.00005
2010-09-30,0.00005,0.00005,0.00005,0.00005
2010-10-01,0.00005,0.00005,0.00005,0.00005
2010-10-04,0.00005,0.00005,0.00005,0.00005
2010-10-05,0.00005,0.00005,0.00005,0.00005
2010-10-06,0.00005,0.00005,0.00005,0.00005
2010-10-07,0.00005,0.00005,0.00005,0.00005
2010-10-08,0.00005,0.00007,0.00001,0.00006
2010-10-11,0.00007,0.00008,0.00007,0.00007
2010-10-12,0.00007,0.00007,0.00006,0.00007
2010-10-13,0.00007,0.00007,0.00007,0.00007
2010-10-14,0.00008,0.00008,0.00005,0.00007
2010-10-15,0.00007,0.00009,0.00007,0.00008
2010-10-18,0.00008,0.00008,0.00007,0.00007
2010-10-19,0.00007,0.00008,0.00007,0.00008
2010-10-20,0.00008,0.00008,0.00007,0.00007
2010-10-21,0.00007,0.00008,0.00007,0.00008
